,Real,Real,CTGAN,CTGAN,Copula,Copula
,mean,std,mean,std,mean,std
age,38.54377559377559,13.619483223249222,37.1956,14.276278291353991,38.7106,14.142908110603791
workclass,3.872194922194922,1.4579029433912962,3.7792,1.8280540304251993,3.8797,1.4771750453522634
fnlwgt,190278.49492219492,105889.61733963508,201322.5652,106271.1187061539,187623.506,121652.45262049598
education,10.27989352989353,3.8782926032797156,10.3227,3.778914226239189,11.9088,3.539199789997077
education-num,10.076904176904177,2.5859845680906455,10.136,2.6595885661384004,10.0242,2.649625711613088
marital-status,2.612817362817363,1.5104667539245675,2.6391,1.640951084598869,2.6095,1.5192894964612258
occupation,6.591932841932842,4.223032884978385,6.7718,4.405208887956921,6.7856,4.166601576449287
relationship,1.4419328419328419,1.6016886330768294,1.6715,1.6644112401920528,1.4459,1.5962856895932758
race,3.6674856674856673,0.8460221362918174,3.484,1.0545402816016807,3.6677,0.8432958109598779
sex,0.6683865683865684,0.4708025492390365,0.6225,0.48478577921095467,0.6629,0.4727429942303316
capital-gain,1049.8193693693693,7190.55916510342,850.9407,2895.1248358861912,24903.0086,29963.065802456767
capital-loss,86.80667485667486,402.51482626140887,51.6688,310.93714235711644,75.0391,182.2709445877595
hours-per-week,40.46068796068796,12.397274793769256,41.3704,13.488765641075242,40.6661,12.846225645742571
native-country,36.71920556920557,7.8134385232428,36.6164,7.788088114014067,34.043,7.615244591936592
income,0.24082719082719084,0.4275943663868171,0.2876,0.45266624644771924,0.2407,0.42752986817159083
