age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
57,4,174680,10,12,3,10,0,4,1,13,3,34,41,1
42,4,306508,15,10,2,13,5,4,1,15,0,46,36,0
25,4,113042,14,5,2,10,5,4,0,11713,256,44,32,0
24,4,111938,10,10,2,9,1,4,1,3260,1,40,38,1
27,6,247794,12,10,0,5,4,2,0,81323,0,37,26,0
38,4,144419,3,13,4,8,1,4,1,94464,1,49,29,1
37,6,163986,12,12,2,13,5,4,0,8,346,36,41,0
26,6,276977,13,8,4,12,4,4,0,14,929,33,22,0
33,7,116842,13,12,4,10,1,2,1,5423,2739,31,25,0
28,4,54116,15,9,4,3,3,4,0,86877,0,40,27,0
54,2,326530,7,7,4,9,1,2,1,33624,859,49,41,0
20,4,67438,15,11,4,5,1,1,0,12290,0,21,39,0
70,7,128379,12,11,6,11,1,4,1,99292,96,58,22,0
51,4,133721,8,5,2,3,0,4,1,24566,0,55,38,0
22,4,160837,15,10,4,1,4,2,0,0,103,42,39,0
69,4,96812,12,4,2,3,0,2,1,66551,1,16,41,0
35,4,41198,8,12,2,3,0,4,0,2783,452,29,41,0
34,5,162583,14,10,4,4,4,1,1,29443,0,40,27,0
22,4,153100,15,8,4,12,0,4,0,749,37,57,41,0
53,4,156202,7,7,2,8,2,4,1,62014,0,38,23,1
43,4,106945,15,14,2,7,0,4,1,9279,584,45,41,0
49,4,115210,8,5,2,4,1,4,1,59498,775,49,28,0
42,4,311795,14,8,2,2,1,4,1,56709,1,36,41,0
36,4,177168,15,8,4,11,1,2,1,0,0,41,25,0
43,4,171121,9,6,2,10,2,4,1,11615,0,28,41,0
58,4,75531,7,7,5,11,3,4,1,209,39,44,24,0
51,4,98967,14,12,2,13,0,2,1,814,0,23,28,1
40,4,248212,15,10,4,5,0,1,1,125,4,39,29,0
28,4,64982,15,11,4,2,3,4,1,0,0,77,41,0
51,4,184595,15,16,2,11,1,2,1,15577,285,37,35,0
53,6,151315,14,12,4,12,5,4,0,7421,239,64,21,0
31,6,89916,5,13,2,11,0,4,1,21218,33,48,41,0
19,4,56457,15,11,4,3,3,2,1,7782,7,34,41,0
40,4,70043,9,12,2,12,1,4,0,97221,4,64,40,1
26,4,213437,6,6,2,11,0,4,0,8331,0,18,17,0
41,4,33352,13,8,2,8,3,4,1,348,231,50,41,1
54,4,94432,15,13,2,13,1,4,0,14820,29,43,41,1
39,4,249890,9,6,4,5,0,4,1,53764,0,34,41,0
46,4,352183,4,8,6,1,0,4,1,30589,0,42,39,0
28,4,91184,6,6,0,6,0,2,1,774,87,31,36,0
26,4,201434,13,4,2,3,0,4,0,4557,7,19,38,0
58,4,88775,14,12,5,12,0,3,1,2329,0,18,41,0
37,0,325148,3,9,4,9,1,4,1,29684,316,35,24,0
40,0,228808,15,13,2,4,0,4,1,1045,5,34,25,1
19,4,108913,15,10,4,8,0,2,0,171,28,37,29,0
26,4,258910,7,8,2,5,0,4,1,765,200,51,41,0
46,4,305645,12,10,4,8,1,1,1,17076,397,49,13,0
68,4,166653,15,9,0,12,0,2,1,5605,3,38,16,0
33,4,485761,15,8,0,3,0,2,1,67155,5,40,26,0
52,4,279506,14,14,0,9,0,4,0,80882,368,55,18,0
19,4,102032,9,9,4,14,0,4,0,6290,2,54,27,0
39,4,356446,5,8,2,7,3,4,1,220,28,60,41,0
49,4,547673,14,8,5,5,5,4,0,6231,0,34,34,0
58,4,270460,10,7,2,12,1,2,1,12406,211,22,41,1
68,4,34493,13,12,2,12,0,4,1,35882,0,50,22,1
29,4,188542,11,7,0,3,0,4,1,8,0,42,41,0
21,1,66309,7,9,4,11,1,4,1,248,2,60,41,1
58,4,136051,6,10,0,4,0,4,1,97196,190,37,38,1
27,4,59794,13,9,4,3,0,4,1,20059,9,41,41,1
49,4,337096,14,13,2,12,0,1,1,418,1,25,41,0
53,4,238003,13,15,2,13,3,4,1,27443,1,50,27,1
38,7,70814,9,8,0,6,3,4,1,14417,0,35,41,0
53,0,194978,13,10,6,7,4,2,1,59277,35,30,41,0
36,1,280972,14,9,4,3,1,4,0,395,55,29,41,0
51,7,229677,15,12,0,2,0,4,0,23,3,37,41,0
45,4,156731,14,13,0,13,3,4,0,10822,121,54,41,0
42,7,218094,15,10,2,2,0,4,1,7437,1,46,17,0
56,4,94942,15,7,6,8,3,4,0,63159,0,55,41,0
47,7,430838,10,11,0,10,0,4,1,66977,0,49,41,1
53,4,59966,13,10,2,5,0,4,1,79673,13,22,31,0
24,4,206920,7,9,4,12,0,1,1,1439,0,12,41,0
55,6,60857,15,9,2,12,1,4,0,4773,4,55,41,0
30,4,221509,15,13,2,13,0,4,0,3610,10,71,26,0
29,4,91117,3,9,2,2,4,2,0,311,604,39,29,0
31,4,91792,13,9,0,5,4,4,0,31275,0,22,35,0
23,4,124396,15,14,4,8,4,4,0,4,24,43,41,0
31,4,222706,13,11,4,10,0,4,1,4828,53,55,41,0
66,5,332226,14,10,5,7,0,4,1,29501,425,55,41,1
30,2,253178,9,13,2,8,0,4,1,14442,0,55,29,0
52,2,27103,15,12,4,5,3,4,1,16099,0,28,36,1
43,4,126001,15,14,2,13,0,4,0,19272,0,44,13,0
49,2,475875,13,9,0,0,1,4,1,28599,7,47,41,0
23,4,166183,14,6,0,1,4,4,0,3365,0,47,37,0
54,4,163274,15,16,0,10,0,4,0,57958,1,57,41,1
32,4,273825,10,11,2,13,0,4,1,36467,4,46,35,0
38,4,36084,15,11,2,4,3,4,0,2884,19,42,35,0
49,4,133679,14,13,0,7,1,4,1,4881,16,44,41,0
61,4,136654,15,13,2,5,0,4,1,10248,0,49,38,0
66,5,305185,9,11,0,6,1,4,1,2450,27,40,41,0
54,5,107746,3,7,0,4,3,4,0,6673,208,24,41,0
36,4,290582,13,9,2,12,0,4,0,2725,0,41,35,1
70,1,126962,10,11,2,10,4,4,1,801,284,59,29,0
20,4,79973,14,8,4,14,4,4,0,5827,0,29,25,0
35,6,84304,10,10,4,7,1,4,1,5595,355,31,37,0
43,4,75795,2,10,2,12,0,4,0,27663,0,29,23,0
35,4,134332,15,16,0,0,0,4,0,56,76,49,41,0
54,2,34885,13,13,2,11,1,2,1,11572,112,56,41,0
26,4,424534,10,9,2,9,1,4,0,205,6,40,27,0
75,1,278001,10,8,0,2,5,4,1,33379,18,24,41,0
38,6,76143,14,16,4,13,3,4,0,70565,209,66,41,0
29,6,696797,8,12,4,0,0,4,0,61790,230,34,37,0
40,7,102004,4,7,2,2,1,4,0,261,0,39,22,0
46,6,215666,15,12,2,11,3,4,1,659,22,42,28,0
50,4,155631,11,8,2,1,3,4,1,19284,0,33,28,0
21,4,230788,15,8,4,9,3,4,1,0,1,45,23,0
50,4,425600,12,7,4,14,1,4,1,131,5,48,14,0
21,4,103197,13,11,4,1,0,4,1,5,74,50,37,0
41,6,92619,14,11,4,1,0,4,1,42125,63,19,33,1
49,4,140718,15,13,2,3,0,4,1,9808,1,29,16,1
54,4,73469,10,9,2,6,4,2,0,4196,3,25,32,0
37,4,250755,1,10,4,5,0,4,1,0,0,35,36,1
48,4,96035,10,9,2,9,0,4,1,99276,0,38,41,0
