age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
28,0,203094,15,10,0,1,1,4,0,12,2081,36,39,0
43,4,181813,8,12,0,12,1,4,1,2876,1,68,39,0
24,4,351173,15,10,4,12,1,4,0,2,0,13,39,0
56,5,371614,15,10,2,12,0,4,1,7844,1,45,39,0
37,4,239132,1,6,4,7,4,4,0,11,0,40,26,0
22,6,228702,11,9,2,1,0,4,1,20,0,49,39,1
38,2,138587,9,13,4,10,4,4,0,4,1,14,39,0
32,2,217310,15,10,2,7,0,4,1,3756,0,40,39,0
49,4,210434,15,10,2,10,5,2,0,15704,2,45,39,1
42,0,190308,15,10,2,0,2,2,0,10,0,40,1,0
21,4,172041,1,12,4,8,3,4,0,37,0,16,39,0
34,2,121083,5,11,2,7,0,4,1,3,1,40,39,0
38,4,201262,15,10,4,7,2,4,0,5,0,26,39,0
23,4,176573,11,9,2,3,0,4,1,14,1,40,39,0
34,4,211342,9,13,4,7,1,3,1,0,0,40,10,0
41,7,250777,9,12,0,1,4,4,0,20,0,57,39,0
22,2,146828,11,9,2,14,0,4,1,20,0,52,39,0
19,0,199358,15,10,4,0,1,4,1,1,0,50,39,0
20,4,175827,11,9,4,7,3,3,1,11,0,40,39,0
20,4,367462,7,12,4,14,1,4,1,12,0,40,39,0
32,4,109238,9,13,1,7,5,2,0,0,1,40,39,1
34,1,21062,11,9,0,1,5,4,0,0,1,62,39,1
48,0,292937,11,6,4,0,3,4,1,8,0,40,39,0
25,0,41687,1,7,3,0,1,4,0,10,1,15,39,0
39,1,280505,8,11,5,1,4,4,0,33,0,63,39,0
71,6,134195,13,15,2,10,0,4,1,40,0,58,39,1
48,4,154346,8,11,4,1,1,2,1,18,0,40,39,0
39,4,211810,8,11,5,4,4,4,0,0,0,45,39,1
22,4,197556,11,9,4,3,1,4,1,0,0,54,39,0
72,6,188321,9,13,2,10,0,4,1,22,1,53,39,1
25,4,118293,9,13,4,13,1,4,0,3,0,45,39,1
17,4,196079,11,9,4,1,3,4,1,15,1,40,39,0
