age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
26,4,124924,5,12,4,8,1,4,1,0,0,40,39,0
69,4,139524,5,10,2,1,5,4,0,0,0,15,39,0
34,4,115485,11,9,2,3,0,4,1,1,0,40,39,0
45,1,149522,15,10,2,1,0,2,1,1,1,40,39,1
24,4,198541,7,12,4,12,3,4,0,0,1,40,39,0
69,5,119841,12,14,2,10,0,4,1,5,1,40,39,1
40,4,110134,8,11,2,1,0,4,1,14937,0,50,39,1
48,4,192252,15,10,2,13,0,4,1,0,0,40,39,1
55,6,123968,11,9,2,3,0,4,1,3,0,40,39,1
36,4,163868,12,14,0,12,1,4,0,2,0,55,39,0
43,4,73573,9,13,2,1,0,4,1,0,0,40,39,1
48,4,193387,11,9,0,4,4,4,0,0,1,40,39,0
21,4,90395,8,11,4,8,3,4,0,0,0,40,39,0
69,4,135331,6,4,2,1,0,4,1,0,0,11,39,0
68,4,81794,1,7,2,10,0,4,0,1,0,40,39,0
27,4,99246,5,4,4,8,4,2,0,3,1,40,39,0
65,6,114289,5,3,0,3,1,1,1,0,0,40,36,0
48,5,111846,7,12,2,1,0,4,1,14982,0,50,39,1
22,4,197002,1,10,4,8,3,4,0,1,1,40,39,0
56,4,115538,0,5,2,10,0,4,1,0,0,40,39,0
37,4,95551,8,11,2,14,0,4,1,0,0,50,39,0
44,4,168346,11,9,2,1,5,4,0,0,0,40,39,0
33,4,62820,11,9,2,3,0,4,1,0,0,40,39,0
23,4,100938,7,12,4,8,3,4,0,1,0,15,39,0
33,4,59008,11,9,4,1,1,4,1,2,0,40,39,0
34,4,218638,11,9,0,7,1,4,1,3,1,40,39,0
59,1,110221,12,14,2,1,0,4,1,0,1,40,39,1
45,4,198779,11,9,2,12,0,4,1,0,1,40,39,1
68,0,88993,8,11,2,9,0,4,1,0,1,40,39,1
38,4,81220,11,9,0,3,1,4,1,0,0,40,39,0
28,4,166997,11,9,2,7,0,4,1,7324,0,40,39,1
43,4,93433,11,9,0,10,4,4,1,0,1,40,39,0
38,4,91625,15,10,2,1,0,4,1,3,1,40,39,1
17,4,210783,15,10,4,11,3,4,1,1,0,13,39,0
18,4,190939,11,9,4,12,3,4,0,0,1,8,39,0
40,4,142480,11,9,0,8,4,4,0,3,0,40,39,0
58,4,108917,11,9,4,7,4,2,0,0,1,40,39,0
31,4,173819,8,11,2,10,1,4,1,0,0,40,39,0
67,4,88127,5,4,6,8,5,4,0,0,0,7,39,0
29,4,133756,9,13,4,12,1,4,1,0,0,40,39,0
63,4,113851,3,10,2,3,0,4,1,0,1,40,39,0
65,7,82050,12,14,2,10,5,1,0,38,0,40,39,1
57,6,99110,11,9,2,14,0,4,1,0,0,40,39,0
56,4,72165,15,10,2,12,5,4,0,1,0,40,39,0
23,4,159938,13,15,4,10,1,1,0,0,0,40,39,0
71,4,124985,11,9,2,7,0,4,1,0,0,40,39,0
26,4,110348,15,10,4,10,1,2,0,0,0,40,39,0
61,4,90988,9,13,2,10,0,4,1,0,1,40,39,1
61,4,78978,5,5,6,8,4,4,0,0,0,40,39,0
47,0,80022,12,14,2,10,0,4,1,4,0,50,39,1
36,4,159319,11,9,2,10,1,4,1,0,0,40,39,0
33,4,182243,15,10,2,7,3,4,1,0,0,40,39,0
67,5,89243,15,10,2,3,0,4,1,0,1906,40,39,1
23,4,125354,4,5,4,14,2,4,1,2,0,40,26,0
24,4,156526,9,13,4,1,3,4,1,0,0,40,39,0
20,4,149241,8,11,4,1,3,4,0,0,0,12,39,0
51,4,159558,6,12,0,1,1,4,0,0,0,40,39,0
65,0,61380,9,13,2,10,0,1,1,2,1,13,39,1
28,4,191690,15,10,2,6,3,4,1,0,0,40,39,0
41,4,212858,11,9,2,7,0,4,1,11,0,40,39,1
28,4,158222,15,10,4,14,1,4,1,2,0,40,39,0
19,4,118336,15,10,4,10,3,4,0,0,0,13,39,0
59,6,129550,11,9,0,10,1,4,0,0,0,40,39,0
33,4,160647,0,7,0,7,4,4,0,0,0,40,39,0
62,6,97581,11,9,2,11,0,4,1,0,0,50,39,0
24,4,123488,11,9,4,10,1,4,0,0,0,40,39,0
63,6,124796,15,10,4,12,1,1,1,0,0,40,36,0
30,4,180703,1,7,2,10,0,4,1,3472,0,40,39,1
72,6,88239,13,15,2,12,0,1,1,2,0,10,39,1
71,4,101919,11,9,2,1,5,4,0,5,0,9,39,0
55,4,115691,15,10,2,10,0,4,1,0,0,40,39,1
56,4,153843,11,9,2,3,0,4,1,3,0,40,39,1
37,4,188823,11,9,2,7,5,4,0,0,0,40,39,0
40,4,74833,11,9,2,10,5,4,0,0,1,40,39,0
60,6,123859,6,4,2,14,0,4,1,4648,0,50,39,1
27,4,141653,1,7,4,10,4,2,0,0,0,40,39,0
19,4,121888,1,7,4,3,3,4,1,1,0,40,39,0
28,4,118480,1,10,0,3,1,4,1,1,0,40,39,0
34,4,106408,8,11,2,12,0,4,1,17,0,50,39,1
29,4,148936,11,9,4,3,1,4,1,0,0,40,39,0
45,4,144429,12,14,0,12,1,4,0,4,0,40,39,0
49,4,149459,8,11,5,10,4,2,0,0,0,40,39,0
