age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
53,5,1,0,0,998,0,0,0,25,8,256,2,0,0,3,0
38,5,1,2,1,2558,0,0,0,20,3,257,2,1,0,3,0
45,0,1,1,0,1095,1,0,2,26,10,290,2,-1,0,3,0
44,5,1,2,0,258,0,0,0,14,4,32,2,12,0,1,0
30,9,1,1,0,663,1,0,2,27,10,79,2,44,0,0,0
55,9,1,2,0,448,1,0,0,11,3,559,2,22,0,3,0
48,0,2,1,0,115,0,0,0,13,3,76,2,652,12,3,0
46,10,1,2,0,3856,1,0,2,5,0,471,2,-1,0,3,0
46,3,1,3,0,1642,0,0,0,31,7,258,2,201,1,3,1
43,7,1,1,0,3294,1,0,0,4,4,259,2,432,5,0,0
26,2,2,2,0,1760,0,0,2,28,11,186,2,16,0,3,0
32,7,0,0,0,-334,0,1,0,15,11,500,2,11,0,3,0
39,4,1,0,0,2546,0,0,2,21,8,293,2,-1,0,3,0
32,10,2,1,0,-492,1,0,2,3,4,24,2,-1,0,3,0
27,11,2,1,0,-1172,1,0,0,22,9,93,2,243,2,2,0
44,9,2,0,0,1427,1,0,0,3,11,53,3,420,4,3,0
34,10,1,1,0,-233,0,0,0,19,4,407,2,2,0,3,0
29,1,2,2,0,-418,1,1,2,15,6,289,2,44,0,3,0
39,8,0,1,0,512,1,0,2,10,3,449,4,50,0,3,0
63,4,1,1,0,1776,1,0,1,4,9,648,2,-1,0,3,0
36,4,2,2,0,3290,0,0,2,6,4,74,4,1,0,3,0
59,9,1,1,0,3241,1,0,0,29,9,123,3,32,0,3,0
32,1,0,0,0,-1544,1,0,2,17,10,308,2,1,0,3,0
38,6,1,1,0,4297,1,0,0,21,3,818,3,57,0,1,0
51,3,1,0,0,696,1,0,2,2,11,186,3,30,0,3,0
38,6,2,1,1,-4036,1,0,0,12,3,576,3,46,0,0,0
31,3,0,1,0,387,1,0,1,7,11,292,2,435,5,3,1
70,4,1,0,0,6171,0,0,0,31,10,125,11,166,2,3,0
44,8,1,1,0,5734,0,0,0,18,2,60,3,122,1,0,0
62,11,1,3,0,3249,1,0,0,27,10,661,2,4,0,3,0
48,7,1,1,0,7778,1,0,2,17,8,761,2,574,8,3,0
53,10,1,0,0,3655,0,0,0,30,6,251,3,10,0,3,1
41,5,1,1,0,370,0,1,0,21,7,163,2,-1,0,3,0
37,6,1,2,0,187,1,1,0,12,3,90,3,223,2,3,0
39,6,0,0,0,-321,1,0,0,11,3,242,2,240,2,2,0
31,9,2,1,0,1983,1,0,2,6,11,186,2,-1,0,3,0
59,11,1,3,0,786,1,0,2,17,11,278,3,298,2,3,0
38,10,2,2,0,3435,1,0,2,2,7,286,2,140,1,3,0
45,10,1,2,0,3072,1,0,0,20,6,277,4,38,0,3,0
40,5,2,1,0,456,1,0,0,17,10,133,2,-1,0,3,0
70,3,1,2,0,260,0,0,0,18,10,511,3,263,2,3,0
31,2,2,1,0,-522,1,1,2,16,4,96,2,114,1,0,0
26,5,1,2,0,-1110,1,0,2,26,2,183,3,-1,0,3,0
39,1,1,1,1,1391,0,0,0,29,1,204,2,-1,0,3,0
34,7,2,3,0,-444,1,1,2,13,10,773,2,8,0,3,0
48,7,1,2,0,1186,1,0,0,12,1,366,2,0,0,3,0
