age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
41,1,2,1,0,-24,1,0,2,12,8,63,2,359,0,3,0
36,1,2,3,0,-112,1,0,2,20,8,31,1,-1,0,3,0
39,9,2,1,0,-151,1,0,2,8,8,176,2,-1,0,3,0
58,0,0,3,0,-141,1,0,2,6,8,163,2,190,2,0,1
46,6,1,2,0,12507,1,1,1,20,9,164,1,0,0,3,0
39,1,2,0,0,231,1,0,2,5,8,247,2,0,0,3,0
34,6,2,1,0,71,1,0,2,20,8,144,2,-1,0,3,0
48,9,2,1,0,236,0,0,0,3,3,335,2,27,2,0,0
43,9,0,2,0,362,1,0,0,25,1,290,3,-1,0,3,1
29,9,1,2,0,1222,1,1,0,8,8,433,2,178,5,0,0
46,1,0,3,0,1709,1,0,2,27,8,108,3,-1,0,3,0
29,1,2,1,0,-374,1,0,0,18,8,326,2,187,1,0,0
20,7,1,1,0,20,1,1,0,30,5,93,2,-1,0,3,0
28,1,1,1,0,303,1,0,0,19,8,273,3,354,5,0,0
46,0,0,1,0,324,1,0,0,14,8,204,3,-1,0,3,0
81,5,1,3,0,212,0,0,0,21,1,547,4,0,0,3,1
59,4,1,2,0,-106,1,0,2,21,6,109,1,-1,0,3,0
37,0,2,1,0,1845,0,0,0,15,3,82,1,-1,0,3,0
60,4,1,1,0,3652,1,0,0,5,1,484,2,0,0,3,0
31,7,1,1,0,460,1,0,2,5,8,169,1,-1,0,3,0
38,9,2,1,0,-94,0,0,2,3,6,135,1,-1,0,3,0
55,4,1,2,0,58,0,0,0,14,5,200,2,94,2,0,0
31,6,2,2,0,4087,1,0,2,13,6,660,3,-1,0,3,0
18,0,1,1,0,-220,1,0,2,18,8,343,3,-1,0,3,0
25,9,2,2,0,474,1,0,0,20,0,43,2,163,8,0,0
26,1,1,1,0,123,1,0,0,16,0,299,6,-1,0,3,0
29,2,2,2,0,-70,0,1,0,8,1,193,2,-1,0,3,0
37,7,0,1,0,1329,1,0,2,8,8,184,4,-1,0,3,0
41,9,2,1,0,1643,1,0,2,21,6,118,1,-1,0,3,0
32,0,1,1,0,121,1,0,0,20,0,338,2,-1,0,3,0
41,6,0,1,0,-91,1,0,2,3,6,314,17,-1,0,3,0
49,7,0,1,0,39,1,0,2,2,6,271,3,-1,0,3,0
35,6,2,2,0,1120,0,0,2,27,1,46,1,-1,0,3,0
60,4,1,0,0,73,0,0,0,12,1,74,1,-1,0,3,0
26,4,1,2,0,116,1,0,0,13,8,65,3,105,2,0,0
62,5,1,2,0,612,1,0,0,6,1,75,1,285,1,0,0
56,4,1,2,0,158,0,0,0,23,5,180,1,-1,0,3,0
29,1,2,1,0,430,1,0,1,17,0,664,1,98,1,1,0
34,6,2,2,0,-179,1,0,0,14,5,128,2,-1,0,3,0
23,0,2,1,0,-380,1,0,2,6,8,307,2,-1,0,3,1
45,9,1,1,0,-289,0,0,0,12,1,509,2,-1,0,3,0
33,9,1,1,0,363,0,0,2,5,6,62,1,-1,0,3,0
47,7,0,0,0,345,0,0,0,9,5,48,1,0,0,3,0
28,0,1,1,0,489,1,0,0,18,0,209,2,170,1,0,0
28,9,2,2,1,-189,0,1,2,29,5,561,1,-1,0,3,0
45,0,1,1,0,99,0,0,0,7,5,149,2,-1,0,3,0
55,4,1,2,0,655,1,0,0,5,1,67,1,0,0,3,0
89,5,1,1,0,4849,0,0,0,24,1,191,1,-1,0,3,1
46,9,2,1,0,5730,1,0,0,13,9,477,2,187,1,0,0
31,4,1,2,0,-30,0,0,0,3,1,76,1,-1,0,3,0
31,6,2,3,0,795,0,0,0,30,3,176,1,263,0,0,0
39,4,2,1,0,38,1,0,2,4,8,109,3,-1,0,3,0
28,9,2,1,0,4936,0,0,2,30,1,238,2,-1,0,3,0
39,6,2,2,0,39,1,0,2,5,8,399,1,30,2,0,0
60,5,1,0,0,-35,0,0,0,20,1,232,1,0,0,3,0
48,4,1,2,0,1771,0,0,0,6,5,849,5,-1,0,3,1
61,4,1,2,0,91,0,0,0,7,10,496,1,38,5,0,0
59,7,0,1,0,-19,1,0,0,27,1,548,3,-1,0,3,0
60,7,1,0,0,4592,1,0,0,17,9,73,3,-1,0,3,0
19,8,2,1,0,87,0,0,0,5,5,584,2,-1,0,3,1
41,4,2,3,0,390,1,1,2,7,8,64,2,-1,0,3,0
35,8,1,2,0,2833,0,0,0,8,1,558,2,207,1,2,1
27,0,2,1,0,-51,1,0,2,7,6,195,2,-1,0,3,0
43,4,2,2,0,106,0,0,2,30,5,255,1,-1,0,3,0
42,1,1,0,0,169,1,0,0,25,5,487,1,-1,0,3,0
31,6,2,1,0,332,0,1,0,5,3,244,2,0,0,3,0
41,9,0,1,0,299,0,0,2,6,6,260,3,-1,0,3,0
60,5,1,1,0,2342,0,0,2,19,8,154,1,-1,0,3,0
39,9,2,1,0,-2,1,0,2,5,6,35,3,-1,0,3,0
40,1,1,0,0,147,1,0,0,17,8,98,2,-1,0,3,0
54,4,2,2,0,360,0,0,2,17,9,161,1,-1,2,3,0
37,1,2,1,0,43,1,0,2,15,6,92,11,0,0,3,0
29,7,1,1,0,465,1,0,2,16,8,348,3,-1,0,3,0
32,1,2,1,0,2002,1,0,2,21,8,381,2,-1,0,3,0
31,9,0,1,0,943,1,0,0,7,0,642,4,25,9,0,1
34,4,2,2,0,1045,1,0,0,21,5,292,3,-1,0,3,0
30,7,0,1,0,583,1,0,0,7,5,860,2,-1,0,3,0
22,9,2,3,0,-1120,0,0,0,29,0,418,2,162,3,0,1
39,0,1,1,1,-65,0,0,2,16,8,167,1,-1,0,3,0
83,10,1,1,0,-8,0,0,0,26,11,239,2,197,5,2,1
25,1,1,0,0,1424,0,1,0,23,5,753,2,-1,0,3,0
30,7,2,1,0,441,1,0,0,6,3,1756,3,-1,0,3,1
52,9,0,1,0,460,1,0,0,1,3,64,3,0,0,3,0
56,7,1,1,0,1633,1,0,0,9,8,183,1,-1,0,3,0
28,9,0,1,0,-437,1,1,0,23,5,76,19,-1,0,3,0
24,10,2,3,0,96,1,0,0,27,8,68,2,190,1,2,1
59,4,1,2,0,-8,0,0,0,23,1,922,2,194,1,2,1
23,0,2,1,0,-153,1,0,0,8,8,336,2,366,2,1,1
31,1,1,1,0,566,1,0,0,9,5,57,6,270,2,0,0
60,2,1,1,0,884,1,1,0,13,5,114,1,-1,0,3,0
41,1,2,1,0,1492,0,0,2,12,8,140,2,-1,0,3,0
37,6,2,2,0,1135,1,1,2,21,6,166,10,-1,0,3,0
28,8,2,2,0,641,0,0,0,29,8,190,2,275,2,2,1
24,7,1,1,0,160,1,0,0,16,8,354,19,-1,0,3,0
56,7,1,0,0,224,1,1,2,24,8,120,6,-1,0,3,0
47,5,1,0,0,9,0,0,1,22,11,619,1,-1,3,3,1
32,7,2,1,1,-239,1,0,2,8,8,204,2,-1,0,3,0
40,7,2,1,1,-1545,1,0,0,29,4,152,11,-1,0,3,0
46,7,1,1,0,98,0,0,0,5,1,168,2,-1,0,3,0
41,4,2,1,0,-41,1,0,2,6,8,148,2,-1,0,3,0
23,0,2,1,0,1305,1,0,0,13,5,119,2,-1,0,3,1
33,4,2,2,0,199,1,0,0,5,3,173,2,-1,0,3,0
44,1,0,0,0,310,1,0,0,15,8,243,5,-1,0,3,0
90,5,0,0,0,626,0,0,1,5,5,652,1,-1,0,3,0
51,9,1,1,0,3305,0,0,0,20,1,60,1,-1,0,3,0
77,5,1,0,0,-592,1,0,0,11,1,283,1,-1,0,3,0
56,0,0,1,0,105,1,0,0,15,8,100,6,-1,0,3,0
31,2,1,1,0,-34,1,1,2,3,5,43,3,-1,0,3,0
59,4,1,2,0,-28,0,1,0,24,1,778,7,0,0,3,1
82,4,1,2,0,11448,0,0,1,27,8,112,1,103,3,0,0
50,4,0,1,0,-21,0,0,2,21,6,131,1,-1,0,3,0
40,7,1,0,0,405,1,0,0,6,1,236,1,-1,0,3,0
30,6,2,1,0,114,1,0,0,9,0,362,8,-1,0,3,0
28,9,2,1,0,1907,1,0,2,20,8,466,10,-1,0,3,0
39,1,1,1,0,-250,1,1,2,21,6,388,3,-1,0,3,0
35,9,2,1,0,455,0,0,2,22,6,1317,6,-1,0,3,1
24,6,2,2,0,-9,1,0,0,24,8,102,2,13,1,0,0
46,9,0,1,0,119,0,0,0,20,1,1190,3,-1,0,3,1
35,10,1,0,0,969,0,0,0,22,5,138,3,-1,0,3,0
60,5,0,0,0,95,0,0,2,2,6,89,1,-1,0,3,0
29,9,1,1,0,-257,1,0,0,27,0,214,2,176,2,2,0
26,9,2,1,0,1189,0,0,0,29,5,409,19,-1,0,3,0
39,4,2,2,0,-2,1,0,2,13,5,349,3,-1,0,3,0
44,1,1,0,0,650,1,0,0,10,8,425,11,-1,0,3,0
34,1,1,1,0,3277,1,0,0,7,8,253,2,173,1,0,0
27,6,2,2,0,103,0,0,0,27,8,156,3,98,5,2,0
58,4,1,1,0,54,1,0,0,15,8,50,2,-1,0,0,0
29,0,2,1,0,-40,0,0,0,9,5,513,2,0,0,3,1
56,0,1,1,0,43,0,1,0,7,5,230,2,-1,0,3,0
62,6,1,0,0,363,0,0,0,17,4,98,5,-1,0,3,0
29,9,2,1,0,12,1,0,0,31,0,108,2,161,1,1,0
26,9,2,1,0,1471,1,0,0,13,8,162,3,-1,3,2,0
62,5,1,0,0,297,0,0,2,7,8,1132,1,0,0,3,1
36,4,2,2,0,133,1,1,2,4,6,117,5,-1,0,3,0
31,6,1,0,0,13113,1,0,0,18,0,432,8,-1,0,3,0
44,4,1,2,0,-112,0,1,0,9,5,438,1,-1,0,3,0
45,1,1,0,0,80,0,0,0,12,8,106,1,186,5,0,0
45,6,0,1,1,-162,1,1,0,4,5,107,2,-1,0,3,0
45,2,1,3,0,-18,0,0,1,1,1,86,4,-1,0,3,0
43,4,0,2,0,434,1,1,0,10,0,91,2,-1,0,3,0
59,2,1,0,0,159,1,0,2,9,8,282,1,-1,0,3,0
42,10,0,3,0,2,1,0,0,28,6,1157,1,0,0,3,1
77,5,1,2,0,-18,0,0,1,10,0,163,2,104,2,0,1
56,9,0,1,0,-18,1,0,0,13,1,125,7,-1,0,3,0
44,6,2,2,0,8,0,0,2,19,6,80,1,-1,0,3,0
56,7,0,1,1,-1577,1,1,0,15,8,98,2,-1,0,3,0
31,1,1,1,0,402,1,1,0,5,8,167,3,333,0,3,0
29,10,2,3,0,95,0,0,2,2,8,170,3,-1,0,3,0
39,10,2,1,0,-156,0,0,2,3,6,42,1,-1,0,3,0
57,7,1,1,0,215,0,0,0,4,1,291,2,-1,0,3,0
55,6,0,2,0,8511,1,1,2,19,6,48,7,13,0,3,0
31,1,2,2,0,774,1,1,0,13,8,416,1,350,3,0,0
42,10,2,1,0,1648,1,0,2,6,8,543,1,-1,0,3,0
31,4,2,2,0,152,0,1,0,29,3,164,2,-1,0,3,0
34,1,1,1,0,-811,1,0,0,8,8,293,2,342,3,0,0
20,4,2,2,0,1488,1,0,0,30,0,131,6,-1,0,3,0
30,6,2,2,0,8269,0,0,0,19,9,214,1,170,3,0,0
32,1,0,1,0,-383,1,0,2,15,8,437,2,-1,1,3,0
42,0,1,1,0,1722,0,0,1,19,9,98,2,178,0,2,0
57,0,1,1,0,4979,1,0,0,22,1,45,4,-1,0,3,0
39,4,1,2,0,37,1,1,0,27,5,78,2,-1,0,3,0
56,4,0,2,1,2308,0,1,0,18,9,143,2,-1,0,3,0
62,10,1,2,1,-121,0,0,0,7,3,301,6,274,5,0,0
34,4,1,2,0,-4,1,0,0,18,0,395,1,-1,0,3,0
28,0,2,2,0,1358,1,0,0,12,8,109,2,-1,0,3,0
27,9,2,1,0,6345,1,0,0,17,9,334,2,176,2,0,0
40,9,1,0,0,-245,1,0,0,12,8,86,2,357,5,0,0
61,9,0,3,0,4410,1,0,2,24,8,171,1,-1,0,3,0
42,7,2,1,0,3661,0,0,0,26,3,240,2,-1,0,3,0
39,9,2,1,0,5,1,0,0,18,8,812,5,-1,0,3,0
52,0,0,1,0,2534,1,0,2,13,8,252,1,-1,0,3,0
35,4,1,2,0,112,1,0,0,7,8,479,2,354,3,0,0
41,7,2,1,1,-147,0,0,2,18,6,71,3,0,0,3,0
56,4,1,1,0,37,0,0,0,26,1,49,4,0,0,3,0
60,9,0,1,0,69,1,0,0,19,0,83,1,-1,0,3,0
29,9,2,1,0,38,0,0,0,13,4,170,2,25,5,1,1
30,1,1,1,0,328,1,0,0,14,0,403,2,166,1,0,0
32,9,2,1,0,296,1,0,2,11,8,289,3,-1,0,3,1
56,0,1,1,0,65,1,0,0,13,5,398,3,-1,0,3,0
44,1,2,1,0,31,0,0,2,6,6,177,1,0,0,3,0
23,9,2,1,0,92,1,0,2,8,8,164,5,-1,0,3,0
40,0,2,1,0,-23,0,0,0,3,3,758,1,-1,0,3,0
33,9,2,1,0,7974,1,0,0,30,8,311,2,361,1,1,0
39,7,1,1,0,1571,1,0,0,18,0,612,3,-1,0,3,1
35,0,2,3,0,1570,1,0,0,30,5,164,3,-1,0,3,1
37,2,0,2,0,155,1,1,0,21,9,77,3,-1,0,3,0
61,9,1,3,0,173,1,0,0,13,8,370,1,-1,5,3,1
42,0,0,1,1,-229,1,1,0,6,5,395,3,-1,0,3,0
63,5,1,1,0,300,0,0,0,9,1,938,3,0,0,3,0
25,7,2,1,0,2878,0,0,0,29,5,85,2,176,1,0,0
45,1,1,1,0,10439,1,0,2,3,6,74,2,-1,0,3,0
29,1,2,0,1,40,1,0,0,8,8,126,3,351,4,1,0
25,1,1,1,0,-327,1,0,1,6,8,393,2,-1,0,3,0
59,7,1,2,0,4248,1,0,0,6,1,207,3,-1,0,3,0
60,11,1,1,0,2535,0,0,0,5,8,349,1,176,2,2,0
30,1,2,1,0,104,1,0,2,13,8,440,2,-1,2,3,0
40,9,2,2,1,-711,1,1,0,4,8,90,2,-1,0,3,0
38,4,1,2,0,-68,0,0,0,6,1,154,1,0,0,3,0
52,9,1,2,0,817,0,0,0,20,1,87,3,-1,0,3,0
49,1,1,1,0,-132,1,0,0,17,9,282,1,168,2,0,0
29,9,2,1,0,-178,0,0,0,6,1,119,2,0,0,3,0
31,6,1,1,0,309,0,1,0,27,5,92,8,-1,0,3,0
55,4,1,2,0,7370,0,0,0,19,0,171,2,-1,0,0,0
29,9,2,3,0,258,1,0,0,8,8,414,2,-1,0,3,0
34,4,2,2,0,111,1,0,1,6,8,125,2,-1,0,3,0
58,7,0,1,0,42,1,0,2,14,8,39,5,-1,0,3,0
42,4,1,1,0,4003,1,0,2,15,6,236,2,-1,0,3,0
57,4,1,0,0,19,1,0,2,13,8,322,1,-1,0,3,0
30,2,2,2,0,1186,1,1,2,7,8,110,3,334,3,0,0
41,7,2,1,0,77,1,0,2,17,6,113,4,-1,0,3,0
61,4,2,2,0,97,1,0,0,18,8,482,1,-1,0,3,0
31,4,2,2,0,-47,1,0,0,8,8,176,2,362,2,0,0
38,0,1,1,0,660,1,0,2,6,8,104,3,-1,0,3,0
31,9,1,2,0,480,1,0,0,2,0,1558,2,-1,0,3,1
81,5,1,0,0,64,0,0,1,23,5,129,1,-1,0,3,0
31,6,2,2,0,-13,0,0,2,30,8,8,7,-1,0,3,0
55,7,0,1,0,-205,1,1,0,17,3,88,1,0,0,3,0
44,1,1,0,0,33,1,0,2,9,8,125,2,364,1,0,0
39,9,1,1,0,4877,0,0,2,20,1,175,3,-1,0,3,0
40,4,0,2,0,3802,1,0,0,2,3,152,5,-1,0,3,0
43,7,1,1,0,-26,1,0,2,26,8,352,2,-1,0,3,0
47,7,1,1,0,400,1,0,0,14,5,274,3,-1,0,3,0
41,4,1,2,0,194,1,0,0,6,8,52,3,345,8,0,0
59,9,0,1,0,280,0,0,2,4,6,346,2,-1,0,3,0
47,9,2,2,0,442,0,0,0,30,3,191,2,0,0,3,0
45,1,1,0,0,258,1,0,1,16,5,29,11,-1,0,3,0
23,7,1,1,0,541,1,0,0,7,8,718,2,-1,0,3,1
34,9,2,2,0,-20,1,1,2,6,6,101,3,34,5,0,0
28,4,2,2,0,1378,0,1,0,18,9,89,6,272,2,1,0
40,0,1,1,0,612,1,0,0,7,3,1655,2,-1,0,3,1
60,6,1,2,0,95,0,0,0,5,10,143,2,183,1,0,0
57,4,1,0,0,2,0,0,0,7,1,159,5,190,0,3,1
38,4,1,1,0,1,1,0,0,11,5,111,3,-1,0,3,0
42,4,1,1,0,73,0,0,1,7,9,153,1,-1,0,3,0
27,9,2,2,0,1006,1,0,0,8,5,320,1,-1,0,3,0
45,6,2,2,0,145,1,0,2,22,9,48,11,-1,0,3,0
55,1,1,1,0,98,1,1,2,7,6,101,3,-1,0,3,0
60,1,1,3,0,-110,1,0,0,9,8,186,2,349,2,0,0
24,9,2,1,0,-173,0,0,0,8,1,221,3,0,0,3,0
59,0,1,3,0,899,1,0,0,29,1,763,2,-1,0,3,0
48,2,0,1,1,4,0,0,0,7,3,48,10,0,0,3,0
46,4,2,2,0,-4,0,0,0,31,5,351,5,0,0,3,0
58,4,1,2,0,6157,0,0,0,24,0,1016,2,107,8,2,1
45,0,0,1,0,-159,1,0,2,8,8,181,2,-1,0,3,0
42,4,1,2,0,1682,1,0,2,5,1,242,1,-1,0,3,0
30,1,2,1,0,-79,1,0,2,20,6,124,1,-1,0,3,0
57,7,0,1,0,-171,0,0,0,23,1,575,1,-1,0,3,0
60,5,1,0,0,130,0,0,0,20,1,136,1,-1,0,3,0
30,4,0,2,0,32,1,0,2,4,8,169,5,-1,0,3,0
49,9,2,1,0,1848,1,0,0,9,8,146,2,166,5,0,0
41,4,1,2,0,174,1,0,0,18,0,128,2,-1,0,3,0
42,4,2,0,0,-76,0,0,2,23,1,81,1,0,0,3,0
58,2,1,0,0,2946,1,0,1,22,0,418,3,-1,0,3,0
30,9,2,2,0,169,1,0,2,6,1,618,7,-1,0,3,0
41,6,1,1,0,5425,0,0,2,22,8,357,3,-1,0,3,0
45,2,1,2,0,2857,0,0,0,19,9,93,3,169,1,0,0
