age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
30,0,2,1,0,323,0,0,0,14,0,78,11,-1,0,3,0
46,9,2,1,0,548,0,0,0,20,1,232,1,-1,0,3,0
50,5,1,1,0,-245,0,0,0,29,5,580,3,-1,0,3,1
47,1,1,0,0,625,0,0,0,7,1,124,4,-1,0,3,0
30,4,2,2,0,-281,1,0,0,16,8,53,2,-1,0,3,0
30,9,2,1,0,810,1,1,0,4,4,114,1,-1,0,3,0
39,9,2,2,0,504,0,0,0,4,3,0,11,-1,0,3,0
36,1,2,1,0,762,1,0,0,7,8,120,1,354,3,0,0
27,9,2,2,0,544,0,0,2,16,6,251,2,-1,0,3,0
32,7,2,1,0,513,1,0,0,21,9,635,1,175,1,0,1
38,7,1,1,0,144,1,0,0,6,8,177,1,319,5,0,0
35,9,2,2,0,1049,0,0,0,11,0,160,1,-1,0,3,0
42,9,1,1,0,625,0,0,0,21,1,216,1,-1,0,3,0
51,4,1,2,0,2419,0,0,2,17,8,234,1,-1,0,3,0
35,1,1,1,0,866,1,0,0,30,4,144,2,-1,0,3,0
44,4,1,2,0,232,1,0,0,22,5,180,1,-1,0,3,0
25,1,2,1,0,428,0,0,0,15,8,567,1,371,5,2,1
38,1,1,1,0,-67,0,0,2,3,6,767,2,-1,0,3,1
52,4,1,2,0,1363,1,0,0,16,9,195,1,197,2,0,0
39,0,1,1,0,145,0,0,0,30,5,910,4,-1,0,3,1
46,1,1,1,0,282,0,0,2,5,6,180,1,-1,0,3,0
39,9,1,1,0,561,0,0,0,29,4,232,1,-1,0,3,0
36,7,1,1,0,649,1,0,2,5,6,312,3,-1,0,3,0
39,9,1,1,0,-192,1,0,0,19,9,259,1,-1,0,3,0
31,1,1,1,0,574,0,0,0,20,1,123,1,-1,0,3,0
32,9,1,1,0,73,1,0,0,29,0,163,1,270,3,0,0
39,1,1,0,0,576,0,0,0,5,6,287,1,-1,0,3,0
34,0,1,1,0,228,0,0,0,2,1,113,1,0,1,0,0
45,7,1,1,0,826,0,0,0,4,1,181,1,91,0,3,0
49,0,1,1,0,300,0,0,0,27,1,152,4,-1,0,3,0
46,1,2,1,0,1316,0,0,2,16,6,867,1,-1,0,3,1
52,0,1,1,0,1097,1,0,0,29,4,189,1,289,2,0,0
44,1,1,1,0,59,0,0,0,26,1,120,4,-1,0,3,0
40,7,1,0,0,-315,1,1,0,14,8,103,3,-1,0,3,0
30,4,2,2,0,764,0,0,0,12,0,207,1,-1,0,3,0
36,4,2,2,0,179,1,0,2,28,8,133,1,-1,0,3,0
28,9,2,1,0,-9,1,0,2,29,8,218,2,-1,0,3,0
35,4,1,2,0,201,1,0,2,29,6,88,4,-1,0,3,0
44,0,1,1,0,-152,1,0,0,31,5,99,4,-1,0,3,0
31,7,1,1,0,138,1,0,2,23,8,115,3,-1,0,3,0
58,5,1,1,0,213,0,0,0,18,0,182,1,-1,0,3,0
46,1,1,1,0,986,1,0,2,29,8,263,3,-1,0,3,0
37,1,1,1,0,660,1,0,2,5,6,132,4,-1,0,3,0
39,9,1,2,0,633,1,0,0,30,5,59,10,-1,0,3,0
55,1,1,0,0,695,1,0,2,8,8,153,1,-1,0,3,0
44,4,1,2,0,778,0,0,0,30,5,237,1,-1,0,3,0
55,1,1,1,0,310,0,0,0,20,1,144,2,-1,0,3,0
57,1,1,0,0,1001,1,0,0,29,4,175,1,285,2,0,0
31,7,2,1,0,553,0,0,0,21,1,325,1,-1,0,3,1
39,0,1,1,0,327,1,0,2,28,8,141,1,-1,0,3,0
52,1,1,0,0,79,0,0,0,5,1,131,4,-1,0,3,0
57,5,1,1,0,526,0,0,0,15,1,122,2,-1,0,3,0
44,4,1,2,0,737,0,0,0,3,1,102,4,-1,0,3,0
43,1,1,1,0,522,1,0,2,12,8,406,4,-1,0,3,0
35,4,2,2,0,363,1,0,0,19,8,328,2,-1,0,3,0
33,7,1,1,0,460,1,0,0,16,8,159,2,-1,0,3,0
43,1,1,1,0,753,1,0,2,29,8,161,2,-1,0,3,0
57,9,1,1,0,636,1,0,0,17,10,179,1,159,2,0,0
49,4,1,2,0,125,0,0,0,26,1,68,4,-1,0,3,0
55,5,1,1,0,791,0,0,2,17,6,88,1,-1,0,3,0
59,1,1,0,0,430,0,0,0,20,1,212,4,-1,0,3,0
58,4,1,2,0,27760,0,0,0,21,9,294,4,154,0,3,0
72,1,1,1,0,1568,0,0,0,12,0,369,1,146,2,2,1
43,1,1,0,0,738,1,0,0,5,5,115,2,-1,0,3,0
34,9,1,1,0,464,0,0,0,28,1,192,1,0,1,0,0
51,7,1,1,0,317,1,0,2,7,8,113,3,-1,0,3,0
33,0,1,1,0,453,0,0,0,21,1,263,4,-1,0,3,0
25,9,2,1,0,579,1,0,2,2,6,54,1,-1,0,3,0
31,9,2,2,0,435,0,0,0,28,11,190,1,75,3,2,1
35,4,2,2,0,277,1,0,0,5,8,299,1,-1,0,3,0
49,9,1,2,0,607,0,0,0,5,3,240,2,-1,0,3,0
57,4,1,2,0,1557,0,0,0,15,6,146,1,-1,0,3,0
62,1,1,0,0,388,0,0,0,27,1,88,4,-1,0,3,0
71,5,1,1,0,1651,0,0,0,28,1,520,2,-1,0,3,1
62,5,1,0,0,743,0,0,2,18,6,406,2,-1,0,3,1
48,1,1,1,0,-262,1,0,0,12,0,47,1,176,2,0,0
36,9,1,1,0,881,1,0,0,18,9,159,1,184,1,0,0
56,9,1,1,0,-178,0,0,0,17,0,118,1,-1,0,3,0
45,9,1,1,0,150,0,0,0,6,1,105,2,-1,0,3,0
59,9,1,1,0,1083,0,1,0,29,5,151,2,-1,0,3,0
55,4,1,2,0,2353,0,0,0,19,9,315,1,-1,0,3,0
53,1,1,0,0,675,0,0,0,19,0,246,2,-1,0,3,0
48,4,1,2,0,644,1,0,2,28,8,153,2,-1,0,3,0
37,1,1,1,0,564,1,0,2,8,8,118,4,-1,0,3,0
47,4,2,2,0,304,1,0,2,5,8,372,3,-1,0,3,0
51,0,1,1,0,2575,0,0,0,21,9,165,2,-1,0,3,0
31,4,2,2,0,147,1,0,0,18,8,23,6,-1,0,3,0
30,9,1,1,0,864,1,0,0,20,0,66,1,181,4,0,0
31,4,2,2,0,422,0,0,0,29,5,320,2,-1,0,3,0
31,9,1,2,0,478,0,0,0,21,5,397,2,-1,0,3,0
77,1,1,0,0,169,0,0,0,2,1,114,4,-1,0,3,0
53,0,1,1,0,210,0,0,0,28,5,67,4,-1,0,3,0
52,7,1,1,0,353,1,0,2,29,8,129,1,-1,0,3,0
51,9,1,1,0,499,0,0,0,20,9,160,3,-1,0,3,0
29,9,1,1,0,306,0,0,0,30,1,188,1,106,1,0,0
61,4,1,2,0,752,1,0,0,13,5,157,1,-1,0,3,0
33,4,1,2,0,243,0,0,0,29,5,102,1,-1,0,3,0
25,1,1,1,0,50,1,0,2,15,8,79,4,-1,0,3,0
43,0,1,1,0,295,1,0,2,20,8,202,1,-1,0,3,0
57,1,1,0,0,417,0,0,2,19,8,122,2,-1,0,3,0
39,4,1,2,0,105,1,0,0,13,8,120,2,-1,0,3,0
60,5,1,1,0,674,0,0,0,20,1,54,1,-1,0,3,0
50,1,1,1,0,-811,0,0,0,17,0,390,1,-1,0,3,1
31,1,2,1,0,689,1,0,2,30,8,377,1,-1,0,3,0
38,9,1,1,0,667,1,0,2,26,8,203,1,-1,0,3,0
60,0,1,1,0,1122,0,0,0,8,1,92,1,-1,0,3,0
27,4,2,2,0,795,0,0,0,6,1,44,4,-1,0,3,0
39,1,1,1,0,40,0,0,0,6,7,174,4,-1,0,3,0
52,5,1,1,0,951,0,0,0,21,0,426,2,-1,0,3,1
60,1,1,0,0,284,0,0,2,6,8,97,1,-1,0,3,0
46,4,1,2,0,-177,1,0,0,9,8,348,2,-1,0,3,1
38,1,1,0,0,235,1,0,2,18,8,65,3,-1,0,3,0
53,4,2,2,0,172,0,0,0,4,8,140,1,92,5,0,0
53,5,1,1,0,364,0,0,0,12,1,259,1,-1,0,3,0
36,4,1,2,0,1035,1,0,0,20,9,311,1,186,1,3,0
38,0,1,1,0,293,1,0,0,12,8,376,3,-1,0,3,0
54,1,1,0,0,157,0,0,2,17,8,76,4,-1,0,3,0
37,1,1,1,0,230,1,0,2,3,6,149,2,-1,0,3,0
40,4,1,2,0,137,1,0,2,5,8,140,2,-1,0,3,0
43,1,1,0,0,-272,1,0,0,16,9,100,1,-1,0,3,0
30,1,1,1,0,7,1,0,0,21,9,425,2,165,3,1,0
